"","date","MSFT","XOM","GE","JPM","INTC","C"
"1",20150102,0.006674,0.00411,-0.00831,0.004954,0.001929,0.002772
"2",20150105,-0.009303,-0.027362,-0.018356,-0.031045,-0.011276,-0.031515
"3",20150106,-0.014571,-0.005316,-0.021545,-0.025929,-0.018637,-0.035205
"4",20150107,0.012705,0.010133,0.000415,0.001526,0.020975,0.00927
"5",20150108,0.029418,0.016645,0.012043,0.022346,0.018601,0.015048
"6",20150109,-0.008405,-0.00141,-0.013952,-0.017387,0.001908,-0.022333
"7",20150112,-0.012503,-0.019218,-0.002081,-0.008595,-0.004353,-0.007877
"8",20150113,-0.005257,-0.003653,-0.005004,0.00017,-0.002732,-0.007146
"9",20150114,-0.008629,-0.002889,-0.003353,-0.0345,-0.00411,-0.019392
"10",20150115,-0.010336,-0.008692,-0.00841,-0.032037,-0.004402,-0.037105
"11",20150116,0.016711,0.024281,0.000424,0.017094,0.007184,0.008046
"12",20150120,0.003244,-0.000329,0.011022,-0.003934,-0.009877,-0.007351
"13",20150121,-0.010132,0.008563,0.007966,0.003231,0.010806,0.010157
"14",20150122,0.02635,0.010885,0.009983,0.030417,0.011787,0.038333
"15",20150123,0.001061,-0.02132,0.008237,-0.015801,-0.012598,-0.019165
"16",20150126,-0.003603,0.009572,0.004493,0.001588,-0.017561,0.005553
"17",20150127,-0.092533,-0.008827,-0.00854,-0.010041,-0.045245,-0.011863
"18",20150128,-0.034459,-0.032985,-0.022149,-0.025801,-0.011994,-0.02484
"19",20150129,0.019908,-0.004207,0.010067,0.016804,0.012879,0.011038
"20",20150130,-0.038324,-0.001827,-0.00789,-0.023172,-0.0342,-0.01407
"21",20150202,0.021782,0.024708,0.013395,0.020044,0.018462,0.0164
"22",20150203,0.007752,0.029806,0.010739,0.022535,0.001486,0.024308
"23",20150204,0.005769,-0.008564,-0.012669,-0.005994,0.004154,-0.00982
"24",20150205,0.014579,0.00984,0.014073,0.006917,0.010119,0.002893
