date,P,D,E,CPI,Date_frac,long_int,P_r,D_r,E_r,P_E10,R_r,PD_r
187101,4.44,0.26,0.4,12.46,1871.04,5.32,77.17,4.52,6.95,NA,NA,17.07300885
187102,4.5,0.26,0.4,12.84,1871.13,5.32,75.9,4.39,6.75,NA,-0.016457172,17.28929385
187103,4.61,0.26,0.4,13.03,1871.21,5.33,76.62,4.32,6.65,NA,0.009486166,17.73611111
187104,4.74,0.26,0.4,12.56,1871.29,5.33,81.76,4.48,6.9,NA,0.067084312,18.25
187105,4.86,0.26,0.4,12.27,1871.38,5.33,85.78,4.59,7.06,NA,0.049168297,18.68845316
187106,4.82,0.26,0.4,12.08,1871.46,5.34,86.41,4.66,7.17,NA,0.007344369,18.54291845
187107,4.73,0.26,0.4,12.08,1871.54,5.34,84.8,4.66,7.17,NA,-0.018632103,18.19742489
187108,4.79,0.26,0.4,11.89,1871.63,5.34,87.25,4.74,7.29,NA,0.028891509,18.407173
187109,4.84,0.26,0.4,12.18,1871.71,5.35,86.09,4.62,7.12,NA,-0.013295129,18.63419913
187110,4.59,0.26,0.4,12.37,1871.79,5.35,80.39,4.55,7.01,NA,-0.06620978,17.66813187
187111,4.64,0.26,0.4,12.37,1871.88,5.35,81.27,4.55,7.01,NA,0.010946635,17.86153846
187112,4.74,0.26,0.4,12.65,1871.96,5.36,81.15,4.45,6.85,NA,-0.00147656,18.23595506
187201,4.86,0.26,0.4,12.65,1872.04,5.36,83.2,4.51,6.89,NA,0.025261861,18.44789357
187202,4.88,0.27,0.41,12.65,1872.13,5.38,83.54,4.57,6.93,NA,0.004086538,18.28008753
187203,5.04,0.27,0.41,12.84,1872.21,5.4,85,4.55,6.87,NA,0.017476658,18.68131868
187204,5.18,0.27,0.41,13.13,1872.29,5.42,85.47,4.51,6.76,NA,0.005529412,18.95121951
187205,5.18,0.28,0.41,13.13,1872.38,5.43,85.47,4.57,6.81,NA,0,18.702407
187206,5.13,0.28,0.42,13.03,1872.46,5.45,85.26,4.65,6.9,NA,-0.002457002,18.33548387
187207,5.1,0.28,0.42,12.84,1872.54,5.47,86.02,4.78,7.04,NA,0.00891391,17.9958159
187208,5.04,0.29,0.42,12.94,1872.63,5.49,84.38,4.8,7.03,NA,-0.019065334,17.57916667
187209,4.95,0.29,0.42,13.03,1872.71,5.51,82.27,4.82,7.02,NA,-0.025005926,17.06846473
187210,4.97,0.29,0.43,12.75,1872.79,5.53,84.45,4.98,7.22,NA,0.026498116,16.95783133
187211,4.95,0.3,0.43,13.13,1872.88,5.54,81.67,4.9,7.05,NA,-0.032918887,16.66734694
187212,5.07,0.3,0.43,12.94,1872.96,5.56,84.88,5.02,7.2,NA,0.039304518,16.90836653
187301,5.11,0.3,0.43,12.94,1873.04,5.58,85.55,5.06,7.24,NA,0.007893497,16.90711462
187302,5.15,0.31,0.44,13.23,1873.13,5.57,84.36,5,7.13,NA,-0.013909994,16.872
187303,5.11,0.31,0.44,13.23,1873.21,5.56,83.7,5.04,7.17,NA,-0.007823613,16.60714286
187304,5.04,0.31,0.44,13.23,1873.29,5.55,82.56,5.08,7.21,NA,-0.013620072,16.2519685
187305,5.05,0.31,0.44,12.94,1873.38,5.54,84.55,5.23,7.41,NA,0.024103682,16.16634799
187306,4.98,0.32,0.45,12.56,1873.46,5.53,85.9,5.43,7.68,NA,0.015966884,15.81952118
187307,4.97,0.32,0.45,12.56,1873.54,5.53,85.73,5.48,7.72,NA,-0.001979045,15.64416058
187308,4.97,0.32,0.45,12.56,1873.63,5.52,85.73,5.52,7.76,NA,0,15.5307971
187309,4.59,0.32,0.45,12.56,1873.71,5.51,79.17,5.56,7.81,NA,-0.076519305,14.23920863
187310,4.19,0.33,0.46,12.27,1873.79,5.5,73.95,5.74,8.03,NA,-0.065934066,12.88327526
187311,4.04,0.33,0.46,11.89,1873.88,5.49,73.59,5.97,8.33,NA,-0.004868154,12.32663317
187312,4.42,0.33,0.46,12.18,1873.96,5.48,78.62,5.87,8.18,NA,0.068351678,13.39352641
187401,4.66,0.33,0.46,12.37,1874.04,5.47,81.62,5.78,8.06,NA,0.038158229,14.12110727
187402,4.8,0.33,0.46,12.37,1874.13,5.44,84.07,5.78,8.06,NA,0.030017153,14.5449827
187403,4.73,0.33,0.46,12.37,1874.21,5.4,82.84,5.78,8.06,NA,-0.014630665,14.33217993
187404,4.6,0.33,0.46,12.18,1874.29,5.37,81.83,5.87,8.18,NA,-0.012192178,13.94037479
187405,4.48,0.33,0.46,12.08,1874.38,5.34,80.32,5.92,8.25,NA,-0.01845289,13.56756757
187406,4.46,0.33,0.46,11.8,1874.46,5.3,81.89,6.06,8.45,NA,0.019546813,13.51320132
187407,4.46,0.33,0.46,11.89,1874.54,5.27,81.24,6.01,8.38,NA,-0.007937477,13.51747088
187408,4.47,0.33,0.46,11.8,1874.63,5.24,82.08,6.06,8.45,NA,0.010339734,13.54455446
187409,4.54,0.33,0.46,11.8,1874.71,5.2,83.36,6.06,8.45,NA,0.015594542,13.75577558
187410,4.53,0.33,0.46,11.61,1874.79,5.17,84.54,6.16,8.59,NA,0.01415547,13.72402597
187411,4.57,0.33,0.46,11.51,1874.88,5.14,85.99,6.21,8.66,NA,0.017151644,13.84702093
187412,4.54,0.33,0.46,11.51,1874.96,5.1,85.43,6.21,8.66,NA,-0.006512385,13.7568438
187501,4.54,0.33,0.45,11.51,1875.04,5.07,85.43,6.16,8.5,NA,0,13.86850649
187502,4.53,0.33,0.44,11.51,1875.13,5.03,85.24,6.12,8.34,NA,-0.002224043,13.92810458
187503,4.59,0.32,0.44,11.51,1875.21,4.99,86.37,6.07,8.19,NA,0.013256687,14.22899506
187504,4.65,0.32,0.43,11.61,1875.29,4.95,86.78,5.97,7.96,NA,0.004747019,14.5360134
187505,4.47,0.32,0.42,11.32,1875.38,4.91,85.53,6.07,8,NA,-0.014404241,14.09060956
187506,4.38,0.32,0.41,11.13,1875.46,4.87,85.24,6.13,7.98,NA,-0.003390623,13.90538336
187507,4.39,0.31,0.4,11.13,1875.54,4.83,85.43,6.08,7.82,NA,0.002229,14.05098684
187508,4.41,0.31,0.39,11.23,1875.63,4.79,85.09,5.98,7.59,NA,-0.003979867,14.22909699
187509,4.37,0.31,0.39,11.13,1875.71,4.75,85.04,5.98,7.49,NA,-0.000587613,14.22073579
187510,4.3,0.31,0.38,11.13,1875.79,4.71,83.68,5.94,7.33,NA,-0.015992474,14.08754209
187511,4.37,0.3,0.37,11.04,1875.88,4.67,85.78,5.94,7.23,NA,0.025095602,14.44107744
187512,4.37,0.3,0.36,10.94,1875.96,4.63,86.52,5.94,7.13,NA,0.00862672,14.56565657
187601,4.46,0.3,0.35,10.85,1876.04,4.59,89.08,5.99,7.06,NA,0.029588534,14.87145242
187602,4.52,0.3,0.35,10.85,1876.13,4.58,90.28,5.99,6.92,NA,0.013471037,15.07178631
187603,4.51,0.3,0.34,10.85,1876.21,4.57,90.08,5.99,6.79,NA,-0.00221533,15.03839733
187604,4.34,0.3,0.33,10.75,1876.29,4.56,87.45,6.04,6.72,NA,-0.02919627,14.47847682
187605,4.18,0.3,0.33,10.37,1876.38,4.54,87.32,6.27,6.82,NA,-0.001486564,13.92663477
187606,4.15,0.3,0.32,10.09,1876.46,4.53,89.14,6.44,6.87,NA,0.020842877,13.84161491
187607,4.1,0.3,0.31,10.09,1876.54,4.52,88.07,6.44,6.73,NA,-0.01200359,13.67546584
187608,3.93,0.3,0.31,10.18,1876.62,4.51,83.63,6.38,6.53,NA,-0.050414443,13.10815047
187609,3.69,0.3,0.3,10.28,1876.71,4.5,77.79,6.32,6.32,NA,-0.0698314,12.3085443
187610,3.67,0.3,0.29,10.47,1876.79,4.49,75.97,6.21,6.07,NA,-0.023396323,12.23349436
187611,3.6,0.3,0.29,10.56,1876.87,4.47,73.85,6.15,5.88,NA,-0.027905752,12.00813008
187612,3.58,0.3,0.28,10.75,1876.96,4.46,72.13,6.04,5.64,NA,-0.023290454,11.94205298
187701,3.55,0.29,0.28,10.94,1877.04,4.45,70.29,5.76,5.58,NA,-0.025509497,12.203125
187702,3.34,0.28,0.28,10.66,1877.12,4.44,67.9,5.73,5.76,NA,-0.034001992,11.84991274
187703,3.17,0.27,0.29,10.18,1877.21,4.43,67.46,5.8,6.06,NA,-0.006480118,11.63103448
187704,2.94,0.26,0.29,10.47,1877.29,4.42,60.86,5.45,5.93,NA,-0.097835755,11.16697248
187705,2.94,0.25,0.29,10.66,1877.37,4.41,59.77,5.17,5.86,NA,-0.017909957,11.56092843
187706,2.73,0.25,0.29,10.09,1877.46,4.4,58.64,5.26,6.23,NA,-0.018905806,11.14828897
187707,2.85,0.24,0.29,10.18,1877.54,4.4,60.65,5.02,6.21,NA,0.034276944,12.08167331
187708,3.05,0.23,0.29,9.8,1877.62,4.39,67.42,5.01,6.48,NA,0.111624073,13.45708583
187709,3.24,0.22,0.3,9.7,1877.71,4.38,72.32,4.86,6.59,NA,0.07267873,14.88065844
187710,3.31,0.21,0.3,9.7,1877.79,4.37,73.89,4.65,6.62,NA,0.021709071,15.89032258
187711,3.26,0.2,0.3,9.51,1877.87,4.36,74.23,4.54,6.79,NA,0.004601435,16.35022026
187712,3.25,0.19,0.3,9.51,1877.96,4.35,74,4.33,6.83,NA,-0.003098478,17.09006928
187801,3.25,0.19,0.3,9.23,1878.04,4.34,76.29,4.44,7.06,NA,0.030945946,17.18243243
187802,3.18,0.19,0.3,9.13,1878.12,4.33,75.42,4.47,7.16,NA,-0.011403854,16.87248322
187803,3.24,0.19,0.3,8.94,1878.21,4.32,78.48,4.54,7.33,NA,0.040572792,17.28634361
187804,3.33,0.19,0.3,8.85,1878.29,4.31,81.53,4.57,7.43,NA,0.038863405,17.84026258
187805,3.34,0.19,0.3,8.56,1878.37,4.3,84.5,4.7,7.7,NA,0.036428309,17.9787234
187806,3.41,0.19,0.31,8.37,1878.46,4.29,88.23,4.79,7.89,NA,0.044142012,18.41962422
187807,3.48,0.18,0.31,8.47,1878.54,4.28,89.03,4.71,7.82,NA,0.009067211,18.90233546
187808,3.45,0.18,0.31,8.56,1878.62,4.27,87.28,4.64,7.76,NA,-0.019656296,18.81034483
187809,3.52,0.18,0.31,8.56,1878.71,4.26,89.05,4.62,7.78,NA,0.02027956,19.27489177
187810,3.48,0.18,0.31,8.47,1878.79,4.25,89.03,4.65,7.89,NA,-0.000224593,19.14623656
187811,3.47,0.18,0.31,8.37,1878.87,4.24,89.78,4.68,8,NA,0.008424127,19.18376068
187812,3.45,0.18,0.31,8.18,1878.96,4.23,91.34,4.77,8.21,NA,0.017375808,19.14884696
187901,3.58,0.18,0.32,8.28,1879.04,4.22,93.69,4.76,8.26,NA,0.025728049,19.68277311
187902,3.71,0.18,0.32,8.37,1879.12,4.2,95.99,4.74,8.32,NA,0.024549045,20.25105485
187903,3.65,0.19,0.33,8.28,1879.21,4.19,95.52,4.84,8.57,NA,-0.004896343,19.73553719
187904,3.77,0.19,0.33,8.18,1879.29,4.17,99.81,4.94,8.82,NA,0.04491206,20.20445344
187905,3.94,0.19,0.34,8.18,1879.37,4.15,104.31,4.99,8.98,NA,0.045085663,20.90380762
187906,3.96,0.19,0.35,8.09,1879.46,4.14,106.08,5.09,9.24,NA,0.016968651,20.84086444
187907,4.04,0.19,0.35,8.18,1879.54,4.12,106.96,5.08,9.29,NA,0.008295626,21.05511811
187908,4.07,0.19,0.36,8.18,1879.62,4.1,107.76,5.12,9.44,NA,0.007479432,21.046875
187909,4.22,0.2,0.36,8.47,1879.71,4.09,107.96,4.99,9.27,NA,0.001855976,21.63527054
187910,4.68,0.2,0.37,8.94,1879.79,4.07,113.36,4.76,8.92,NA,0.050018525,23.81512605
187911,4.93,0.2,0.37,9.42,1879.87,4.05,113.38,4.56,8.61,NA,0.000176429,24.86403509
187912,4.92,0.2,0.38,9.7,1879.96,4.04,109.83,4.46,8.48,NA,-0.031310637,24.62556054
188001,5.11,0.21,0.39,9.99,1880.04,4.02,110.81,4.45,8.44,NA,0.008922881,24.9011236
188002,5.2,0.21,0.4,9.99,1880.12,3.99,112.76,4.55,8.64,NA,0.01759769,24.78241758
188003,5.3,0.22,0.41,10.09,1880.21,3.97,113.84,4.62,8.75,NA,0.009577864,24.64069264
188004,5.18,0.22,0.42,9.7,1880.29,3.94,115.63,4.91,9.3,NA,0.015723823,23.54989817
188005,4.77,0.23,0.43,9.42,1880.37,3.91,109.7,5.17,9.79,NA,-0.051284269,21.21856867
188006,4.79,0.23,0.44,9.23,1880.46,3.89,112.44,5.4,10.21,NA,0.024977211,20.82222222
188007,5.01,0.24,0.44,9.23,1880.54,3.86,117.6,5.52,10.43,NA,0.045891142,21.30434783
188008,5.19,0.24,0.45,9.23,1880.62,3.83,121.83,5.63,10.64,NA,0.035969388,21.63943162
188009,5.18,0.25,0.46,9.32,1880.71,3.81,120.35,5.69,10.75,NA,-0.012148075,21.15114236
188010,5.33,0.25,0.47,9.32,1880.79,3.78,123.84,5.81,10.96,NA,0.028998754,21.31497418
188011,5.61,0.26,0.48,9.42,1880.87,3.75,129.02,5.86,11.06,NA,0.041828165,22.01706485
188012,5.84,0.26,0.49,9.51,1880.96,3.73,132.97,5.92,11.16,NA,0.030615408,22.46114865
188101,6.19,0.27,0.49,9.42,1881.04,3.7,142.36,6.09,11.17,18.47,0.070617433,23.37602627
188102,6.17,0.27,0.48,9.51,1881.12,3.69,140.48,6.15,10.97,18.15,-0.013205957,22.84227642
188103,6.24,0.28,0.48,9.51,1881.21,3.69,142.08,6.26,10.87,18.27,0.011389522,22.69648562
188104,6.22,0.28,0.47,9.61,1881.29,3.68,140.22,6.31,10.67,17.95,-0.013091216,22.22187005
188105,6.5,0.29,0.47,9.51,1881.37,3.67,148,6.49,10.68,18.87,0.055484239,22.80431433
188106,6.58,0.29,0.47,9.51,1881.46,3.67,149.82,6.6,10.59,19.03,0.012297297,22.7
188107,6.35,0.3,0.46,9.61,1881.54,3.66,143.15,6.65,10.39,18.12,-0.044520091,21.52631579
188108,6.2,0.3,0.46,9.8,1881.62,3.65,137.06,6.63,10.1,17.29,-0.042542787,20.67269985
188109,6.25,0.31,0.45,10.18,1881.71,3.65,133,6.49,9.63,16.72,-0.029622063,20.49306626
188110,6.15,0.31,0.45,10.28,1881.79,3.64,129.66,6.54,9.45,16.26,-0.025112782,19.82568807
188111,6.19,0.32,0.44,10.18,1881.87,3.63,131.72,6.7,9.45,16.48,0.015887706,19.65970149
188112,6.01,0.32,0.44,10.18,1881.96,3.63,127.89,6.81,9.36,15.96,-0.02907683,18.77973568
188201,5.92,0.32,0.44,10.18,1882.04,3.62,125.97,6.81,9.35,15.68,-0.015012902,18.49779736
188202,5.79,0.32,0.44,10.28,1882.12,3.62,122.07,6.75,9.24,15.15,-0.030959752,18.08444444
188203,5.78,0.32,0.44,10.28,1882.21,3.62,121.86,6.75,9.22,15.09,-0.001720324,18.05333333
188204,5.78,0.32,0.44,10.37,1882.29,3.62,120.74,6.68,9.12,14.92,-0.009190875,18.0748503
188205,5.71,0.32,0.44,10.47,1882.37,3.62,118.19,6.62,9.02,14.57,-0.021119761,17.85347432
188206,5.68,0.32,0.44,10.56,1882.46,3.62,116.51,6.56,8.92,14.33,-0.014214401,17.76067073
188207,6,0.32,0.43,10.47,1882.54,3.63,124.19,6.62,8.99,15.24,0.065917089,18.75981873
188208,6.18,0.32,0.43,10.56,1882.62,3.63,126.77,6.56,8.89,15.53,0.02077462,19.32469512
188209,6.24,0.32,0.43,10.28,1882.71,3.63,131.55,6.75,9.12,16.08,0.037706082,19.48888889
188210,6.07,0.32,0.43,10.18,1882.79,3.63,129.17,6.81,9.19,15.76,-0.01809198,18.96769457
188211,5.81,0.32,0.43,10.09,1882.87,3.63,124.8,6.87,9.25,15.19,-0.033831385,18.16593886
188212,5.84,0.32,0.43,9.99,1882.96,3.63,126.64,6.94,9.32,15.38,0.01474359,18.24783862
188301,5.81,0.32,0.43,9.99,1883.04,3.63,125.99,6.96,9.27,15.27,-0.00513266,18.10201149
188302,5.68,0.32,0.43,10.09,1883.12,3.63,122.01,6.91,9.13,14.76,-0.031589809,17.65701881
188303,5.75,0.32,0.42,9.99,1883.21,3.63,124.69,6.99,9.16,15.05,0.021965413,17.83834049
188304,5.87,0.32,0.42,9.9,1883.29,3.63,128.51,7.08,9.2,15.48,0.030635977,18.15112994
188305,5.77,0.32,0.42,9.8,1883.37,3.63,127.55,7.17,9.23,15.34,-0.007470236,17.78940028
188306,5.82,0.33,0.42,9.51,1883.46,3.63,132.51,7.4,9.45,15.9,0.038886711,17.90675676
188307,5.73,0.33,0.41,9.32,1883.54,3.63,133.13,7.57,9.58,15.95,0.004678892,17.58652576
188308,5.47,0.33,0.41,9.32,1883.62,3.62,127.09,7.59,9.53,15.2,-0.045369188,16.74440053
188309,5.53,0.33,0.41,9.23,1883.71,3.62,129.81,7.69,9.57,15.49,0.021402156,16.88036411
188310,5.38,0.33,0.41,9.23,1883.79,3.62,126.29,7.71,9.51,15.05,-0.027116555,16.38002594
188311,5.46,0.33,0.4,9.13,1883.87,3.62,129.5,7.81,9.55,15.41,0.025417689,16.58130602
188312,5.34,0.33,0.4,9.23,1883.96,3.62,125.35,7.75,9.39,14.9,-0.032046332,16.17419355
188401,5.18,0.33,0.39,9.23,1884.04,3.62,121.59,7.71,9.21,14.43,-0.029996011,15.77042802
188402,5.32,0.33,0.39,9.23,1884.12,3.61,124.88,7.67,9.04,14.81,0.027058146,16.28161669
188403,5.3,0.33,0.38,9.23,1884.21,3.6,124.41,7.63,8.86,14.74,-0.003763613,16.30537353
188404,5.06,0.32,0.37,9.04,1884.29,3.6,121.27,7.75,8.87,14.35,-0.025239129,15.64774194
188405,4.65,0.32,0.36,8.85,1884.37,3.59,113.84,7.88,8.88,13.47,-0.061268244,14.44670051
188406,4.46,0.32,0.36,8.85,1884.46,3.58,109.19,7.83,8.69,12.91,-0.040846803,13.94508301
188407,4.46,0.32,0.35,8.75,1884.54,3.57,110.38,7.88,8.6,13.04,0.010898434,14.00761421
188408,4.74,0.32,0.34,8.75,1884.62,3.56,117.31,7.84,8.41,13.86,0.062783113,14.9630102
188409,4.59,0.32,0.33,8.66,1884.71,3.55,114.85,7.88,8.32,13.57,-0.020970079,14.5748731
188410,4.44,0.31,0.33,8.56,1884.79,3.55,112.33,7.93,8.22,13.27,-0.021941663,14.16519546
188411,4.35,0.31,0.32,8.37,1884.87,3.54,112.55,8.06,8.21,13.3,0.001958515,13.96401985
188412,4.34,0.31,0.31,8.28,1884.96,3.53,113.58,8.11,8.11,13.43,0.009151488,14.00493218
188501,4.24,0.3,0.31,8.28,1885.04,3.52,110.97,7.96,8.03,13.13,-0.022979398,13.94095477
188502,4.37,0.3,0.3,8.37,1885.12,3.51,113.07,7.72,7.85,13.38,0.018924034,14.64637306
188503,4.38,0.29,0.3,8.18,1885.21,3.5,115.96,7.74,7.94,13.73,0.025559388,14.98191214
188504,4.37,0.29,0.3,8.28,1885.29,3.48,114.37,7.5,7.76,13.55,-0.013711625,15.24933333
188505,4.32,0.28,0.29,8.09,1885.37,3.47,115.72,7.52,7.86,13.71,0.011803795,15.38829787
188506,4.3,0.28,0.29,7.9,1885.46,3.46,117.96,7.54,7.96,13.98,0.019357069,15.64456233
188507,4.46,0.27,0.29,7.99,1885.54,3.45,120.89,7.3,7.77,14.33,0.024838928,16.56027397
188508,4.71,0.26,0.28,7.99,1885.62,3.43,127.67,7.14,7.68,15.13,0.056084043,17.88095238
188509,4.65,0.26,0.28,7.9,1885.71,3.42,127.56,7.06,7.68,15.12,-0.000861596,18.06798867
188510,4.92,0.25,0.28,7.9,1885.79,3.41,134.97,6.9,7.59,15.99,0.05809031,19.56086957
188511,5.24,0.25,0.27,7.99,1885.87,3.4,142.03,6.66,7.41,16.82,0.05230792,21.32582583
188512,5.2,0.24,0.27,8.18,1885.96,3.38,137.67,6.35,7.15,16.3,-0.03069774,21.68031496
188601,5.2,0.24,0.28,7.99,1886.04,3.37,140.95,6.46,7.45,16.69,0.023825089,21.81888545
188602,5.3,0.24,0.28,7.99,1886.12,3.38,143.66,6.42,7.59,17.01,0.019226676,22.37694704
188603,5.19,0.24,0.29,7.9,1886.21,3.4,142.37,6.45,7.82,16.84,-0.008979535,22.07286822
188604,5.12,0.23,0.29,7.8,1886.29,3.41,142.17,6.48,8.05,16.8,-0.00140479,21.93981481
188605,5.02,0.23,0.3,7.61,1886.37,3.42,142.87,6.59,8.4,16.86,0.004923683,21.67981791
188606,5.25,0.23,0.3,7.52,1886.46,3.43,151.31,6.63,8.65,17.83,0.059074683,22.82202112
188607,5.33,0.23,0.31,7.61,1886.54,3.45,151.7,6.5,8.68,17.85,0.00257749,23.33846154
188608,5.37,0.23,0.31,7.71,1886.62,3.46,150.95,6.37,8.71,17.72,-0.004943968,23.69701727
188609,5.51,0.23,0.32,7.71,1886.71,3.47,154.88,6.32,8.85,18.15,0.026035111,24.50632911
188610,5.65,0.22,0.32,7.71,1886.79,3.48,158.82,6.28,9,18.56,0.02543905,25.28980892
188611,5.79,0.22,0.33,7.71,1886.87,3.5,162.76,6.23,9.14,18.97,0.024807959,26.12520064
188612,5.64,0.22,0.33,7.8,1886.96,3.51,156.61,6.11,9.16,18.19,-0.037785697,25.63175123
188701,5.58,0.22,0.33,7.99,1887.04,3.52,151.25,6.03,9.01,17.51,-0.034225145,25.08291874
188702,5.54,0.23,0.34,8.09,1887.12,3.53,148.4,6.03,8.97,17.13,-0.018842975,24.61028192
188703,5.67,0.23,0.34,8.09,1887.21,3.55,151.88,6.09,9.04,17.47,0.023450135,24.93924466
188704,5.8,0.23,0.34,8.09,1887.29,3.56,155.36,6.16,9.11,17.82,0.022912826,25.22077922
188705,5.9,0.23,0.34,8.09,1887.37,3.57,158.04,6.23,9.17,18.08,0.017250257,25.36757624
188706,5.73,0.24,0.35,7.99,1887.46,3.58,155.32,6.37,9.35,17.71,-0.017210833,24.38304553
188707,5.59,0.24,0.35,7.9,1887.54,3.6,153.35,6.52,9.53,17.43,-0.012683492,23.51993865
188708,5.45,0.24,0.35,7.99,1887.62,3.61,147.73,6.51,9.49,16.74,-0.03664819,22.69278034
188709,5.38,0.24,0.35,7.9,1887.71,3.62,147.59,6.65,9.67,16.68,-0.000947675,22.19398496
188710,5.2,0.25,0.36,7.99,1887.79,3.63,140.95,6.64,9.62,15.88,-0.044989498,21.22740964
188711,5.3,0.25,0.36,8.09,1887.87,3.65,141.97,6.63,9.58,15.95,0.007236609,21.413273
188712,5.27,0.25,0.36,8.28,1887.96,3.66,137.92,6.54,9.42,15.46,-0.028527154,21.08868502
188801,5.31,0.25,0.35,8.37,1888.04,3.67,137.39,6.42,9.1,15.36,-0.003842807,21.40031153
188802,5.28,0.25,0.34,8.28,1888.12,3.65,138.18,6.46,8.98,15.42,0.005750055,21.39009288
188803,5.08,0.25,0.34,8.28,1888.21,3.63,132.95,6.41,8.77,14.81,-0.037849182,20.74102964
188804,5.1,0.24,0.33,8.18,1888.29,3.62,135.02,6.44,8.65,15.02,0.015569763,20.96583851
188805,5.17,0.24,0.32,8.09,1888.37,3.6,138.49,6.47,8.53,15.39,0.025699896,21.4049459
188806,5.01,0.24,0.31,7.99,1888.46,3.58,135.8,6.51,8.4,15.08,-0.019423785,20.86021505
188807,5.14,0.24,0.3,8.09,1888.54,3.56,137.68,6.38,8.08,15.28,0.013843888,21.5799373
188808,5.25,0.24,0.29,8.09,1888.62,3.54,140.63,6.34,7.86,15.6,0.021426496,22.18138801
188809,5.38,0.24,0.29,8.09,1888.71,3.52,144.11,6.29,7.63,15.99,0.024745787,22.91096979
188810,5.35,0.23,0.28,8.18,1888.79,3.51,141.64,6.18,7.33,15.72,-0.017139685,22.91909385
188811,5.24,0.23,0.27,8.28,1888.87,3.49,137.14,6.06,7.02,15.22,-0.031770686,22.63036304
