PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
10107,20150102,MSFT,MICROSOFT CORP,46.76000,0.006674,1
11850,20150102,XOM,EXXON MOBIL CORP,92.83000,0.004110,1
12060,20150102,GE,GENERAL ELECTRIC CO,25.06000,-0.008310,1
47896,20150102,JPM,JPMORGAN CHASE & CO,62.49000,0.004954,1
59328,20150102,INTC,INTEL CORP,36.36000,0.001929,1
70519,20150102,C,CITIGROUP INC,54.26000,0.002772,1
10107,20150105,MSFT,MICROSOFT CORP,46.32500,-0.009303,1
11850,20150105,XOM,EXXON MOBIL CORP,90.29000,-0.027362,1
12060,20150105,GE,GENERAL ELECTRIC CO,24.60000,-0.018356,1
47896,20150105,JPM,JPMORGAN CHASE & CO,60.55000,-0.031045,1
59328,20150105,INTC,INTEL CORP,35.95000,-0.011276,1
70519,20150105,C,CITIGROUP INC,52.55000,-0.031515,1
10107,20150106,MSFT,MICROSOFT CORP,45.65000,-0.014571,1
11850,20150106,XOM,EXXON MOBIL CORP,89.81000,-0.005316,1
12060,20150106,GE,GENERAL ELECTRIC CO,24.07000,-0.021545,1
47896,20150106,JPM,JPMORGAN CHASE & CO,58.98000,-0.025929,1
59328,20150106,INTC,INTEL CORP,35.28000,-0.018637,1
70519,20150106,C,CITIGROUP INC,50.70000,-0.035205,1
10107,20150107,MSFT,MICROSOFT CORP,46.23000,0.012705,1
11850,20150107,XOM,EXXON MOBIL CORP,90.72000,0.010133,1
12060,20150107,GE,GENERAL ELECTRIC CO,24.08000,0.000415,1
47896,20150107,JPM,JPMORGAN CHASE & CO,59.07000,0.001526,1
59328,20150107,INTC,INTEL CORP,36.02000,0.020975,1
70519,20150107,C,CITIGROUP INC,51.17000,0.009270,1
10107,20150108,MSFT,MICROSOFT CORP,47.59000,0.029418,1
11850,20150108,XOM,EXXON MOBIL CORP,92.23000,0.016645,1
12060,20150108,GE,GENERAL ELECTRIC CO,24.37000,0.012043,1
47896,20150108,JPM,JPMORGAN CHASE & CO,60.39000,0.022346,1
59328,20150108,INTC,INTEL CORP,36.69000,0.018601,1
70519,20150108,C,CITIGROUP INC,51.94000,0.015048,1
10107,20150109,MSFT,MICROSOFT CORP,47.19000,-0.008405,1
11850,20150109,XOM,EXXON MOBIL CORP,92.10000,-0.001410,1
12060,20150109,GE,GENERAL ELECTRIC CO,24.03000,-0.013952,1
47896,20150109,JPM,JPMORGAN CHASE & CO,59.34000,-0.017387,1
59328,20150109,INTC,INTEL CORP,36.76000,0.001908,1
70519,20150109,C,CITIGROUP INC,50.78000,-0.022333,1
10107,20150112,MSFT,MICROSOFT CORP,46.60000,-0.012503,1
11850,20150112,XOM,EXXON MOBIL CORP,90.33000,-0.019218,1
12060,20150112,GE,GENERAL ELECTRIC CO,23.98000,-0.002081,1
47896,20150112,JPM,JPMORGAN CHASE & CO,58.83000,-0.008595,1
59328,20150112,INTC,INTEL CORP,36.60000,-0.004353,1
70519,20150112,C,CITIGROUP INC,50.38000,-0.007877,1
10107,20150113,MSFT,MICROSOFT CORP,46.35500,-0.005257,1
11850,20150113,XOM,EXXON MOBIL CORP,90.00000,-0.003653,1
12060,20150113,GE,GENERAL ELECTRIC CO,23.86000,-0.005004,1
47896,20150113,JPM,JPMORGAN CHASE & CO,58.84000,0.000170,1
59328,20150113,INTC,INTEL CORP,36.50000,-0.002732,1
70519,20150113,C,CITIGROUP INC,50.02000,-0.007146,1
10107,20150114,MSFT,MICROSOFT CORP,45.95500,-0.008629,1
11850,20150114,XOM,EXXON MOBIL CORP,89.74000,-0.002889,1
12060,20150114,GE,GENERAL ELECTRIC CO,23.78000,-0.003353,1
47896,20150114,JPM,JPMORGAN CHASE & CO,56.81000,-0.034500,1
59328,20150114,INTC,INTEL CORP,36.35000,-0.004110,1
70519,20150114,C,CITIGROUP INC,49.05000,-0.019392,1
10107,20150115,MSFT,MICROSOFT CORP,45.48000,-0.010336,1
11850,20150115,XOM,EXXON MOBIL CORP,88.96000,-0.008692,1
12060,20150115,GE,GENERAL ELECTRIC CO,23.58000,-0.008410,1
47896,20150115,JPM,JPMORGAN CHASE & CO,54.99000,-0.032037,1
59328,20150115,INTC,INTEL CORP,36.19000,-0.004402,1
70519,20150115,C,CITIGROUP INC,47.23000,-0.037105,1
10107,20150116,MSFT,MICROSOFT CORP,46.24000,0.016711,1
11850,20150116,XOM,EXXON MOBIL CORP,91.12000,0.024281,1
12060,20150116,GE,GENERAL ELECTRIC CO,23.59000,0.000424,1
47896,20150116,JPM,JPMORGAN CHASE & CO,55.93000,0.017094,1
59328,20150116,INTC,INTEL CORP,36.45000,0.007184,1
70519,20150116,C,CITIGROUP INC,47.61000,0.008046,1
10107,20150120,MSFT,MICROSOFT CORP,46.39000,0.003244,1
11850,20150120,XOM,EXXON MOBIL CORP,91.09000,-0.000329,1
12060,20150120,GE,GENERAL ELECTRIC CO,23.85000,0.011022,1
47896,20150120,JPM,JPMORGAN CHASE & CO,55.71000,-0.003934,1
59328,20150120,INTC,INTEL CORP,36.09000,-0.009877,1
70519,20150120,C,CITIGROUP INC,47.26000,-0.007351,1
10107,20150121,MSFT,MICROSOFT CORP,45.92000,-0.010132,1
11850,20150121,XOM,EXXON MOBIL CORP,91.87000,0.008563,1
12060,20150121,GE,GENERAL ELECTRIC CO,24.04000,0.007966,1
