PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
10107,19900102,MSFT,MICROSOFT CORP,88.75000,0.020115,144
10107,19900103,MSFT,MICROSOFT CORP,89.25000,0.005634,144
10107,19900104,MSFT,MICROSOFT CORP,91.87500,0.029412,144
10107,19900105,MSFT,MICROSOFT CORP,89.62500,-0.024490,144
10107,19900108,MSFT,MICROSOFT CORP,91.00000,0.015342,144
10107,19900109,MSFT,MICROSOFT CORP,90.75000,-0.002747,144
10107,19900110,MSFT,MICROSOFT CORP,88.25000,-0.027548,144
10107,19900111,MSFT,MICROSOFT CORP,86.50000,-0.019830,144
10107,19900112,MSFT,MICROSOFT CORP,86.12500,-0.004335,144
10107,19900115,MSFT,MICROSOFT CORP,86.12500,0.000000,144
10107,19900116,MSFT,MICROSOFT CORP,88.75000,0.030479,144
10107,19900117,MSFT,MICROSOFT CORP,87.50000,-0.014085,144
10107,19900118,MSFT,MICROSOFT CORP,95.00000,0.085714,144
10107,19900119,MSFT,MICROSOFT CORP,94.12500,-0.009211,144
10107,19900122,MSFT,MICROSOFT CORP,90.75000,-0.035857,144
10107,19900123,MSFT,MICROSOFT CORP,89.75000,-0.011019,144
10107,19900124,MSFT,MICROSOFT CORP,90.75000,0.011142,144
10107,19900125,MSFT,MICROSOFT CORP,90.75000,0.000000,144
10107,19900126,MSFT,MICROSOFT CORP,90.75000,0.000000,144
10107,19900129,MSFT,MICROSOFT CORP,91.50000,0.008264,144
10107,19900130,MSFT,MICROSOFT CORP,91.25000,-0.002732,144
10107,19900131,MSFT,MICROSOFT CORP,92.50000,0.013699,144
10107,19900201,MSFT,MICROSOFT CORP,93.75000,0.013514,144
10107,19900202,MSFT,MICROSOFT CORP,93.75000,0.000000,144
10107,19900205,MSFT,MICROSOFT CORP,94.25000,0.005333,144
10107,19900206,MSFT,MICROSOFT CORP,94.00000,-0.002653,144
10107,19900207,MSFT,MICROSOFT CORP,93.25000,-0.007979,144
10107,19900208,MSFT,MICROSOFT CORP,94.25000,0.010724,144
10107,19900209,MSFT,MICROSOFT CORP,94.50000,0.002653,144
10107,19900212,MSFT,MICROSOFT CORP,94.75000,0.002646,144
10107,19900213,MSFT,MICROSOFT CORP,94.75000,0.000000,144
10107,19900214,MSFT,MICROSOFT CORP,95.00000,0.002639,144
10107,19900215,MSFT,MICROSOFT CORP,97.00000,0.021053,144
10107,19900216,MSFT,MICROSOFT CORP,98.00000,0.010309,144
10107,19900220,MSFT,MICROSOFT CORP,100.25000,0.022959,144
10107,19900221,MSFT,MICROSOFT CORP,96.12500,-0.041147,144
10107,19900222,MSFT,MICROSOFT CORP,96.37500,0.002601,144
10107,19900223,MSFT,MICROSOFT CORP,97.50000,0.011673,144
10107,19900226,MSFT,MICROSOFT CORP,99.25000,0.017949,144
10107,19900227,MSFT,MICROSOFT CORP,98.00000,-0.012594,144
10107,19900228,MSFT,MICROSOFT CORP,98.75000,0.007653,144
10107,19900301,MSFT,MICROSOFT CORP,100.00000,0.012658,144
10107,19900302,MSFT,MICROSOFT CORP,103.75000,0.037500,144
10107,19900305,MSFT,MICROSOFT CORP,105.25000,0.014458,144
10107,19900306,MSFT,MICROSOFT CORP,104.50000,-0.007126,144
10107,19900307,MSFT,MICROSOFT CORP,102.75000,-0.016746,144
10107,19900308,MSFT,MICROSOFT CORP,106.25000,0.034063,144
10107,19900309,MSFT,MICROSOFT CORP,106.50000,0.002353,144
10107,19900312,MSFT,MICROSOFT CORP,108.25000,0.016432,144
10107,19900313,MSFT,MICROSOFT CORP,106.25000,-0.018476,144
10107,19900314,MSFT,MICROSOFT CORP,107.25000,0.009412,144
10107,19900315,MSFT,MICROSOFT CORP,111.00000,0.034965,144
10107,19900316,MSFT,MICROSOFT CORP,114.00000,0.027027,144
10107,19900319,MSFT,MICROSOFT CORP,116.50000,0.021930,144
10107,19900320,MSFT,MICROSOFT CORP,113.00000,-0.030043,144
10107,19900321,MSFT,MICROSOFT CORP,113.25000,0.002212,144
10107,19900322,MSFT,MICROSOFT CORP,111.25000,-0.017660,144
10107,19900323,MSFT,MICROSOFT CORP,110.25000,-0.008989,144
10107,19900326,MSFT,MICROSOFT CORP,111.50000,0.011338,144
10107,19900327,MSFT,MICROSOFT CORP,112.50000,0.008969,144
10107,19900328,MSFT,MICROSOFT CORP,111.00000,-0.013333,144
10107,19900329,MSFT,MICROSOFT CORP,110.50000,-0.004505,144
10107,19900330,MSFT,MICROSOFT CORP,110.75000,0.002262,144
10107,19900402,MSFT,MICROSOFT CORP,111.50000,0.006772,144
10107,19900403,MSFT,MICROSOFT CORP,116.00000,0.040359,144
10107,19900404,MSFT,MICROSOFT CORP,117.00000,0.008621,144
10107,19900405,MSFT,MICROSOFT CORP,114.50000,-0.021368,144
10107,19900406,MSFT,MICROSOFT CORP,114.25000,-0.002183,144
10107,19900409,MSFT,MICROSOFT CORP,114.50000,0.002188,144
10107,19900410,MSFT,MICROSOFT CORP,118.00000,0.030568,144
10107,19900411,MSFT,MICROSOFT CORP,121.00000,0.025424,144
10107,19900412,MSFT,MICROSOFT CORP,120.75000,-0.002066,144
10107,19900416,MSFT,MICROSOFT CORP,60.75000,0.006211,72
10107,19900417,MSFT,MICROSOFT CORP,62.00000,0.020576,72
10107,19900418,MSFT,MICROSOFT CORP,60.62500,-0.022177,72
10107,19900419,MSFT,MICROSOFT CORP,59.50000,-0.018557,72
10107,19900420,MSFT,MICROSOFT CORP,59.25000,-0.004202,72
10107,19900423,MSFT,MICROSOFT CORP,59.00000,-0.004219,72
10107,19900424,MSFT,MICROSOFT CORP,58.00000,-0.016949,72
10107,19900425,MSFT,MICROSOFT CORP,58.00000,0.000000,72
10107,19900426,MSFT,MICROSOFT CORP,57.37500,-0.010776,72
10107,19900427,MSFT,MICROSOFT CORP,56.25000,-0.019608,72
10107,19900430,MSFT,MICROSOFT CORP,58.00000,0.031111,72
10107,19900501,MSFT,MICROSOFT CORP,57.12500,-0.015086,72
10107,19900502,MSFT,MICROSOFT CORP,58.25000,0.019694,72
10107,19900503,MSFT,MICROSOFT CORP,59.00000,0.012876,72
10107,19900504,MSFT,MICROSOFT CORP,61.75000,0.046610,72
10107,19900507,MSFT,MICROSOFT CORP,64.00000,0.036437,72
10107,19900508,MSFT,MICROSOFT CORP,62.75000,-0.019531,72
